proveedor_top,total_quejas,tasa_conciliacion,mediana_dias_resolucion,promedio_monto_reclamado,promedio_porcentaje_recuperado,usuarios_totales
AT&T,2528,0.5799050632911392,34.0,1420.2470965189873,0.13699011304619205,42184165
IZZI,3294,0.6800242865816636,35.0,440.7865573770492,0.23645153173214498,15489758
MEGACABLE,3591,0.758006126427179,22.0,343.25732664995826,0.3020780714700783,12009829
MOVISTAR,3592,0.6525612472160356,39.0,1265.0285133630289,0.33524215001178087,31934419
TELCEL,9691,0.6502940872974925,29.0,1168.2134170880197,0.46623101692190666,162420073
TELMEX,2144,0.7560634328358209,70.5,913.3704384328358,0.20678076946091392,19510076
TOTALPLAY,2988,0.6867469879518072,29.0,480.08671352074964,0.2181874740494084,12241992
