proveedor_top,Dim1,Dim2
AT&T,1.9074692318795021,-1.797355654415217
IZZI,-0.04419079524023508,0.9721164339093625
MEGACABLE,-1.3688678550043474,1.8665463486435554
MOVISTAR,0.22604593882266044,-0.9671044209714006
TELCEL,-2.9013997020318554,-2.9207757566684567
TELMEX,2.467797519093306,1.7144554740178137
TOTALPLAY,-0.28685433751903,1.1321175754843429
