,usuarios_totales,quejas_por_100k,tasa_conciliacion,mediana_dias_resolucion,promedio_monto_reclamado,promedio_porcentaje_recuperado
usuarios_totales,1.0,-0.5887616400083323,-0.412001043438267,-0.18869136877915277,0.5807973465915195,0.20627066015134374
quejas_por_100k,-0.5887616400083323,1.0,0.7187904631780402,-0.40675340659457654,-0.9483895218516175,0.5823971838459261
tasa_conciliacion,-0.412001043438267,0.7187904631780402,1.0,0.208195831151412,-0.5189321964574498,0.7302019058038953
mediana_dias_resolucion,-0.18869136877915277,-0.40675340659457654,0.208195831151412,1.0,0.5254859880676346,-0.2906011508537555
promedio_monto_reclamado,0.5807973465915195,-0.9483895218516175,-0.5189321964574498,0.5254859880676346,1.0,-0.4154940021210576
promedio_porcentaje_recuperado,0.20627066015134374,0.5823971838459261,0.7302019058038953,-0.2906011508537555,-0.4154940021210576,1.0
