proveedor_top,AT&T,IZZI,MEGACABLE,MOVISTAR,TELCEL,TELMEX,TOTALPLAY
AT&T,0.0,3.184811928617226,4.5159311680328145,2.4581764183796957,5.262056889637128,4.2113480187872465,3.144607886365822
IZZI,3.184811928617226,0.0,1.7640053646135812,2.344807422665001,4.972809184580997,3.0497920218398487,0.49593345860675175
MEGACABLE,4.5159311680328145,1.7640053646135812,0.0,3.168877591354932,5.102128841409057,3.7815381948479656,1.620427614498343
MOVISTAR,2.4581764183796957,2.344807422665001,3.168877591354932,0.0,3.9456995726443704,3.2677414897713652,2.475503220712075
TELCEL,5.262056889637128,4.972809184580997,5.102128841409057,3.9456995726443704,0.0,6.060101431901287,5.130995951418407
TELMEX,4.2113480187872465,3.0497920218398487,3.7815381948479656,3.2677414897713652,6.060101431901287,0.0,3.285656581433237
TOTALPLAY,3.144607886365822,0.49593345860675175,1.620427614498343,2.475503220712075,5.130995951418407,3.285656581433237,0.0
